Id,año,messem,sem,finicio,ffin
545,2011,Q,23,12/1/2011,12/15/2011
546,2011,Q,24,12/16/2011,12/31/2011
547,2012,Q,1,1/1/2012,1/15/2012
548,2012,Q,2,1/16/2012,1/31/2012
549,2012,Q,3,2/1/2012,2/15/2012
550,2012,Q,4,2/16/2012,2/28/2012
551,2012,Q,5,3/1/2012,3/15/2012
552,2012,Q,6,3/16/2012,3/31/2012
553,2012,Q,7,4/1/2012,4/15/2012
554,2012,Q,8,4/16/2012,4/30/2012
555,2012,Q,9,5/1/2012,5/15/2012
556,2012,Q,10,5/16/2012,5/31/2012
557,2012,Q,11,6/1/2012,6/15/2012
558,2012,Q,12,6/16/2012,6/30/2012
559,2012,Q,13,7/1/2012,7/15/2012
560,2012,Q,14,7/16/2012,7/31/2012
561,2012,Q,15,8/1/2012,8/15/2012
562,2012,Q,16,8/16/2012,8/31/2012
563,2012,Q,17,9/1/2012,9/15/2012
564,2012,Q,18,9/16/2012,9/30/2012
565,2012,Q,19,10/1/2012,10/15/2012
566,2012,Q,20,10/16/2012,10/31/2012
567,2012,Q,21,11/1/2012,11/15/2012
568,2012,Q,22,11/16/2012,11/30/2012
569,2012,Q,23,12/1/2012,12/15/2012
570,2012,Q,24,12/16/2012,12/31/2012
571,2013,Q,1,1/1/2013,1/15/2013
572,2013,Q,2,1/16/2013,1/31/2013
573,2013,Q,3,2/1/2013,2/15/2013
574,2013,Q,4,2/16/2013,2/28/2013
575,2013,Q,5,3/1/2013,3/15/2013
576,2013,Q,6,3/16/2013,3/31/2013
577,2013,Q,7,4/1/2013,4/15/2013
578,2013,Q,8,4/16/2013,4/30/2013
579,2013,Q,9,5/1/2013,5/15/2013
580,2013,Q,10,5/16/2013,5/31/2013
581,2013,Q,11,6/1/2013,6/15/2013
582,2013,Q,12,6/16/2013,6/30/2013
583,2013,Q,13,7/1/2013,7/15/2013
584,2013,Q,14,7/16/2013,7/31/2013
585,2013,Q,15,8/1/2013,8/15/2013
586,2013,Q,16,8/16/2013,8/31/2013
587,2013,Q,17,9/1/2013,9/15/2013
588,2013,Q,18,9/16/2013,9/30/2013
589,2013,Q,19,10/1/2013,10/15/2013
590,2013,Q,20,10/16/2013,10/31/2013
591,2013,Q,21,11/1/2013,11/15/2013
592,2013,Q,22,11/16/2013,11/30/2013
593,2013,Q,23,12/1/2013,12/15/2013
594,2013,Q,24,12/16/2013,12/31/2013
595,2014,Q,1,1/1/2014,1/15/2014
596,2014,Q,2,1/16/2014,1/31/2014
597,2014,Q,3,2/1/2014,2/15/2014
598,2014,Q,4,2/16/2014,2/28/2014
599,2014,Q,5,3/1/2014,3/15/2014
600,2014,Q,6,3/16/2014,3/31/2014
601,2014,Q,7,4/1/2014,4/15/2014
602,2014,Q,8,4/16/2014,4/30/2014
